mechanism,model,term_label,estimate,cluster_std.error,cluster_p.value,wild_bootstrap_std.error,wild_bootstrap_p.value,dk_std.error,dk_p.value,n_obs,n_countries,years
All social protection coverage,TWFE baseline,Labor informality,0.08880569423128865,0.0797878134555812,0.2832176839485752,0.05298013219427426,0.105,0.019304011965799884,9.401571488233249e-6,178,17,2006-2023
Social assistance coverage,TWFE baseline,Labor informality,0.08779292648515716,0.08070179205361488,0.2938246139322584,0.05355329729911822,0.092,0.020208785120693986,2.677437064221011e-5,178,17,2006-2023
Social insurance coverage,TWFE baseline,Labor informality,0.1218995816182513,0.08447541555375519,0.16957290753099635,0.06217211581342225,0.149,0.02278149542893705,3.518942747957664e-7,177,16,2006-2023
All social protection coverage,TWFE baseline,Mechanism coverage,-0.10237303114487811,0.03957510952126523,0.020633703006880354,0.03126395689481318,0.001,0.014160248908450463,2.944603878786182e-11,178,17,2006-2023
Social assistance coverage,TWFE baseline,Mechanism coverage,-0.08384712162177646,0.03538819771468332,0.03166296892131043,0.027091818200916083,0.001,0.01121954812187306,7.923794124413814e-12,178,17,2006-2023
Social insurance coverage,TWFE baseline,Mechanism coverage,-0.38711907704274645,0.1379043204081005,0.013266728219794648,0.12582113238288614,0.015,0.0231996327043035,5.302957155875587e-35,177,16,2006-2023
All social protection coverage,TWFE interaction,Labor informality,0.21833910971725623,0.12506278023761583,0.10128169789050379,0.09968759242485206,0.197,0.05260564296008472,5.7748734663933255e-5,178,17,2006-2023
Social assistance coverage,TWFE interaction,Labor informality,0.18554756919903181,0.12318926497735196,0.1527832815087577,0.08081926505435355,0.437,0.04868333538726847,2.0751148850705394e-4,178,17,2006-2023
Social insurance coverage,TWFE interaction,Labor informality,0.26231549125638387,0.12181647150365281,0.04796774802616437,0.10498344596985723,0.001,0.08379090457876039,0.002129740335785796,177,16,2006-2023
All social protection coverage,TWFE interaction,Labor informality x mechanism,-0.0018899264685494311,0.001515414616408643,0.23146993273719463,0.0011746765343881116,0.539,8.467144381327352e-4,0.027222167300122533,178,17,2006-2023
Social assistance coverage,TWFE interaction,Labor informality x mechanism,-0.0016915443867245282,0.001326522089094302,0.22164546332991053,9.000858166466498e-4,0.954,9.673526124399598e-4,0.08257813627220623,178,17,2006-2023
Social insurance coverage,TWFE interaction,Labor informality x mechanism,-0.006326396170436501,0.004052301627569452,0.13932688394558979,0.0030227389571053395,0.098,0.0029700398533851835,0.034939910923223204,177,16,2006-2023
All social protection coverage,TWFE interaction,Mechanism coverage,0.022967367573819786,0.10263618045360512,0.8259519056118144,0.09006747618586476,0.928,0.049959717621641246,0.646442271982862,178,17,2006-2023
Social assistance coverage,TWFE interaction,Mechanism coverage,0.024211372263798214,0.08562862555800467,0.7812340406014764,0.06661629008973319,0.998,0.05755985954993257,0.6746799763111424,178,17,2006-2023
Social insurance coverage,TWFE interaction,Mechanism coverage,-0.0978613777501682,0.2187937535828029,0.6610662581140698,0.16915383943218937,0.598,0.1460112043900389,0.5038299607831382,177,16,2006-2023
