rank,iso3,country_name,region_lac,year,monetary_poverty,labor_informality,social_protection_coverage,structural_vulnerability_index
1,HTI,Haiti,Caribbean,2023,,,,1.611
2,VEN,Venezuela,Andean,2023,,,,1.42
3,HND,Honduras,Central America,2023,53.3,,,0.223
4,COL,Colombia,Andean,2023,39.1,56.506,,0.219
5,GTM,Guatemala,Central America,2023,47.3,83.188,,-0.008
6,BOL,Bolivia,Andean,2023,16.5,83.882,,-0.258
7,PER,Peru,Andean,2023,38.3,77.169,,-0.285
8,BLZ,Belize,Central America,2023,,,,-0.321
9,NIC,Nicaragua,Central America,2023,1.7,,,-0.34
10,ECU,Ecuador,Andean,2023,30.8,68.151,,-0.37
11,PRY,Paraguay,Mercosur,2023,22.8,66.861,,-0.384
12,BRA,Brazil,Mercosur,2023,23.3,37.035,,-0.414
13,SUR,Suriname,Caribbean,2023,,,,-0.503
14,SLV,El Salvador,Central America,2023,29.9,66.484,,-0.514
15,CUB,Cuba,Caribbean,2023,,,,-0.544
16,PAN,Panama,Central America,2023,19.8,56.127,76.776,-0.591
17,JAM,Jamaica,Caribbean,2023,,54.64,,-0.597
18,BHS,Bahamas,Caribbean,2023,,,,-0.703
19,CRI,Costa Rica,Central America,2023,15.3,37.102,,-0.706
20,ARG,Argentina,Mercosur,2023,16.4,50.445,,-0.819
21,DOM,Dominican Republic,Caribbean,2023,16.9,55.676,,-0.834
22,BRB,Barbados,Caribbean,2023,,,,-0.966
23,MEX,Mexico,Mexico,2023,22.2,57.039,,-1.02
24,CHL,Chile,Southern Cone,2023,0.7,27.355,,-1.066
25,URY,Uruguay,Mercosur,2023,6.6,31.757,,-1.077
26,TTO,Trinidad and Tobago,Caribbean,2023,,,,-1.242
27,GUY,Guyana,Caribbean,2023,,,,-1.895
