"iso3","country_name","region_lac","bolivia"
"ARG","Argentina","Mercosur","0"
"BHS","Bahamas","Caribbean","0"
"BLZ","Belize","Central America","0"
"BOL","Bolivia","Andean","1"
"BRA","Brazil","Mercosur","0"
"BRB","Barbados","Caribbean","0"
"CHL","Chile","Southern Cone","0"
"COL","Colombia","Andean","0"
"CRI","Costa Rica","Central America","0"
"CUB","Cuba","Caribbean","0"
"DOM","Dominican Republic","Caribbean","0"
"ECU","Ecuador","Andean","0"
"GTM","Guatemala","Central America","0"
"GUY","Guyana","Caribbean","0"
"HND","Honduras","Central America","0"
"HTI","Haiti","Caribbean","0"
"JAM","Jamaica","Caribbean","0"
"MEX","Mexico","Mexico","0"
"NIC","Nicaragua","Central America","0"
"PAN","Panama","Central America","0"
"PER","Peru","Andean","0"
"PRY","Paraguay","Mercosur","0"
"SLV","El Salvador","Central America","0"
"SUR","Suriname","Caribbean","0"
"TTO","Trinidad and Tobago","Caribbean","0"
"URY","Uruguay","Mercosur","0"
"VEN","Venezuela","Andean","0"
