"variable","missing_pct","non_missing_obs","quality_domain","status"
"female_labor_participation","94.58","97","missingness","REVIEW_REQUIRED"
"male_labor_participation","94.58","97","missingness","REVIEW_REQUIRED"
"youth_unemployment","94.58","97","missingness","REVIEW_REQUIRED"
"education_expenditure","91.39","154","missingness","REVIEW_REQUIRED"
"health_expenditure","91.39","154","missingness","REVIEW_REQUIRED"
"social_expenditure","91.39","154","missingness","REVIEW_REQUIRED"
"social_protection_coverage","88.71","202","missingness","REVIEW_REQUIRED"
"labor_informality","81.16","337","missingness","REVIEW_REQUIRED"
"gini","71.72","506","missingness","REVIEW_REQUIRED"
"unemployment","69.26","550","missingness","REVIEW_REQUIRED"
"monetary_poverty","67.24","586","missingness","REVIEW_REQUIRED"
"extreme_poverty","67.24","586","missingness","REVIEW_REQUIRED"
"employment","58.19","748","missingness","REVIEW_REQUIRED"
"gdp_per_capita","3.07","1734","missingness","REVIEW_REQUIRED"
"structural_vulnerability_index","2.35","1747","missingness","REVIEW_REQUIRED"
"iso3","0.0","1789","missingness","REVIEW_REQUIRED"
"year","0.0","1789","missingness","REVIEW_REQUIRED"
